INFO:root:База данных инициализирована
INFO:root:API сервер запущен на порту 8080
INFO:root:Бот запущен
INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @four_zero_bot id=8451254918 - '0000'
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:43:15 +0000] "POST /mcp HTTP/1.1" 404 173 "-" "python-httpx/0.28.1"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:43:16 +0000] "GET /sse HTTP/1.1" 404 173 "-" "python-httpx/0.28.1"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:43:16 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.6312.86 Safari/537.36 BitSightBot/1.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:47:43 +0000] "GET / HTTP/1.1" 200 239 "http://5.129.195.48/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.6312.86 Safari/537.36 BitSightBot/1.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:48:08 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:49:26 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:52:19 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 zgrab/0.x"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:53:14 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:55:06 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:59:17 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.212 [01/Mar/2026:18:59:42 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:00:37 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:02:25 +0000] "GET /formaction HTTP/1.1" 404 173 "http://5.129.195.48:80/formaction" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:03:27 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:05:15 +0000] "GET /.git/config HTTP/1.1" 404 173 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:05:41 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:08:34 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:176.65.139.44 [01/Mar/2026:19:10:22 +0000] "POST /formaction HTTP/1.1" 404 173 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:10:34 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:13:03 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 5.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:15:24 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:17:14 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:20:04 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:17 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:19 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:25 +0000] "GET /images/product-4.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:25 +0000] "GET /images/product-2.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:25 +0000] "GET /images/product-3.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:25 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:26 +0000] "GET /images/product-5.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:26 +0000] "GET /images/product-6.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:20:54 +0000] "GET /images/product-2.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:22:12 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:45.194.92.25 [01/Mar/2026:19:22:39 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:26:12 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.212 [01/Mar/2026:19:26:44 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:27:13 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:31:10 +0000] "GET / HTTP/1.1" 200 239 "http://4-0.xn--p1ai" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:31:44 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:33:43 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:36:33 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:39:23 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:64.89.161.182 [01/Mar/2026:19:43:32 +0000] "CONNECT  HTTP/1.0" 404 173 "-" "-"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:44:13 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:46:00 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:47:52 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:49:46 +0000] "GET / HTTP/1.1" 200 239 "http://www.englishcours.ru" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:50:19 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.212 [01/Mar/2026:19:50:24 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:54:27 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:54:42 +0000] "GET /currentsetting.htm HTTP/1.1" 404 173 "-" "-"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:19:56:32 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:57:55 +0000] "POST /xmlrpc.php HTTP/1.1" 404 173 "-" "Mozilla/5.0 (Linux; Android 10; arm64) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/70.0.0.0 Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:19:59:20 +0000] "GET / HTTP/1.1" 200 239 "http://5.129.195.48:80/" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:19:59:27 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:01:59 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:02:10 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
